x,y,z,cluster
32.63595,-4.936649,14.353466,1
16.191633,-36.191654,-2.3644166,2
-9.528124,-17.924278,26.179857,2
23.23391,11.986783,7.2128043,1
-19.854748,-46.911907,11.037909,0
-18.334347,-39.891373,11.007774,2
-10.813594,-34.787704,-3.9377575,2
-30.366663,-32.69452,4.018731,2
9.869502,-41.85033,-13.279755,2
-11.927795,-9.82111,-0.5743185,2
11.9953,-7.932536,19.226395,2
6.785375,-14.864067,10.710823,2
22.539925,-1.2876565,4.4833164,1
-3.3654702,-16.540495,-8.329909,2
3.962098,-5.608667,30.456566,2
-20.201756,-10.330131,0.6164428,2
-6.829498,-52.561893,4.4201984,2
-20.55419,-29.088732,24.044554,2
-20.620344,-6.874207,15.668435,2
8.975728,-33.649868,25.07816,2
-1.7314911,-51.942097,6.840509,2
-10.572044,-20.871908,-0.81531674,2
5.616326,-3.4187262,-27.126,2
31.315477,-18.016197,21.830296,2
-30.378849,-36.29428,1.7906418,2
-8.253368,-28.276186,17.754578,2
9.598309,-27.21176,-0.11191665,2
-11.655728,-26.021566,25.04288,2
3.9814742,-11.481567,20.314869,1
20.806688,-37.866283,13.830585,2
7.396099,-15.794616,4.543892,2
-7.492506,-38.23861,19.607481,2
1.9583023,-34.08562,-9.348429,2
-16.275047,-35.022156,2.007115,2
-12.222298,-20.626856,-15.887527,2
20.806688,-37.866283,13.830585,2
-4.2933564,-47.223473,-3.819313,2
-0.011687379,-9.819058,34.5729,2
-10.402275,-6.4135294,14.341242,1
0.9420774,-21.376362,-10.902769,2
13.73071,-15.665698,34.002544,2
-3.3084111,-18.881289,34.804245,2
-11.323842,-38.387604,-17.758919,2
-2.7745116,-35.08193,17.102875,2
10.582811,-37.80851,4.964815,2
14.321872,-15.395717,18.95931,2
-10.558218,-48.59935,7.853502,2
21.779716,12.389046,2.3354583,1
-5.5492644,-13.417928,29.873524,2
-3.045868,-41.308372,18.805048,2
-18.194618,4.963858,8.240788,1
-6.6401916,-20.32234,2.5144455,2
3.9313183,-37.65368,23.892078,2
1.8553948,-35.38127,31.652851,2
6.7934856,-35.643597,34.156246,2
34.181892,-9.400588,-15.536836,1
-16.82153,-4.6933737,13.752069,2
-9.925123,-31.005032,24.996807,2
14.567494,-11.308401,-14.807362,1
36.64683,-2.699471,-13.940585,1
13.8505125,-24.894466,-9.372799,2
-4.271023,-43.933125,-1.7991956,2
16.08226,-21.339508,19.929436,2
0.81437147,-24.59876,36.19913,2
13.144909,-21.610128,9.631521,2
16.31983,-16.937653,-8.512096,1
6.688119,-42.891464,-17.750679,2
2.1117358,-32.455772,9.579747,2
-10.549285,-49.1332,2.0444205,2
22.877508,13.824174,11.513545,1
29.376,-5.6412063,-14.872304,1
-1.992582,-38.608543,-6.9310837,2
19.057707,-2.99048,24.096224,1
-14.262418,-24.065248,-0.08906832,2
2.5991712,-27.566015,-14.134273,2
